,Feature,Type,Mean/Mode,Std/Classes,SWilk,DAgK2,KS,ConfInt,Kurtosis,Skewness,MannW,Wilcoxon,Kruskal,Pearson,Spearman,KendalTau
0,Age,Numerical,33.54666666666667,7.779646428387645,"(0.9183290600776672, 1.0063814365190993e-11)","NormaltestResult(statistic=31.649541365186696, pvalue=1.3408784627196478e-07)","KstestResult(statistic=1.0, pvalue=0.0)","(32.61964991846511, 34.473683414868226)","KurtosistestResult(statistic=0.2963328885390235, pvalue=0.7669758718077617)","SkewtestResult(statistic=5.617982572450436, pvalue=1.9319998102092963e-08)","MannwhitneyuResult(statistic=0.0, pvalue=8.816100517889571e-105)","WilcoxonResult(statistic=0.0, pvalue=5.65231205698756e-51)","KruskalResult(statistic=471.2028156211028, pvalue=1.7539933794708698e-104)","(-0.11444728052806515, 0.04764493505499726)","SpearmanrResult(correlation=-0.09785755568264402, pvalue=0.09065936471062463)","KendalltauResult(correlation=-0.08172254761989782, pvalue=0.0906239877570063)"
1,FamSize,Numerical,3.966666666666667,1.4853427322776354,"(0.8775355815887451, 9.586619794169342e-15)","NormaltestResult(statistic=90.80257267318149, pvalue=1.9163369462327928e-20)","KstestResult(statistic=0.9372498680518208, pvalue=0.0)","(3.7896743570140794, 4.143658976319254)","KurtosistestResult(statistic=6.264868099141018, pvalue=3.73141118329209e-10)","SkewtestResult(statistic=7.1801114457609, pvalue=6.965461630502678e-13)","MannwhitneyuResult(statistic=3285.0, pvalue=3.7339082357604194e-92)","WilcoxonResult(statistic=61.5, pvalue=5.477970847865511e-49)","KruskalResult(statistic=413.18409307910366, pvalue=7.4308353863512e-92)","(-0.02452660630035324, 0.6722197621936069)","SpearmanrResult(correlation=-0.005486522002157293, pvalue=0.9246060641086751)","KendalltauResult(correlation=-0.004942165002451798, pvalue=0.9244174229466395)"
2,Income,Numerical,82632.0436255597,24674.614972055464,"(0.7864056825637817, 1.5973444409645994e-19)","NormaltestResult(statistic=153.10765364306766, pvalue=5.663637424258222e-34)","KstestResult(statistic=1.0, pvalue=0.0)","(79691.83528253595, 85572.25196858346)","KurtosistestResult(statistic=6.920480461827718, pvalue=4.5011439887908305e-12)","SkewtestResult(statistic=10.257417015044698, pvalue=1.0959915043671629e-24)","MannwhitneyuResult(statistic=0.0, pvalue=5.838084010114146e-105)","WilcoxonResult(statistic=0.0, pvalue=5.0844137169067514e-51)","KruskalResult(statistic=472.02545090717837, pvalue=1.1614961835590602e-104)","(-0.008590378855944804, 0.8822075722318276)","SpearmanrResult(correlation=-0.016003079209653253, pvalue=0.7825158088414796)","KendalltauResult(correlation=-0.013726638577401192, pvalue=0.7819957985663801)"
3,PerCapita,Numerical,24601.416157108022,14277.851378529358,"(0.7938119173049927, 3.374805133867148e-19)","NormaltestResult(statistic=146.8560200364506, pvalue=1.2900912568093293e-32)","KstestResult(statistic=1.0, pvalue=0.0)","(22900.078252093157, 26302.754062122887)","KurtosistestResult(statistic=6.624815520322186, pvalue=3.476821152765585e-11)","SkewtestResult(statistic=10.147307000290711, pvalue=3.406332843106775e-24)","MannwhitneyuResult(statistic=0.0, pvalue=8.848968848787321e-105)","WilcoxonResult(statistic=0.0, pvalue=5.923407000991773e-51)","KruskalResult(statistic=471.1953885841121, pvalue=1.7605327917102236e-104)","(-0.0168259943972302, 0.7716336506436307)","SpearmanrResult(correlation=-0.022959606881205564, pvalue=0.692057725888524)","KendalltauResult(correlation=-0.01910886742710502, pvalue=0.6913610329620667)"
4,TotalExp,Numerical,10.568333333333333,7.523059126287275,"(0.9250773191452026, 3.9456937717119445e-11)","NormaltestResult(statistic=27.012647265186388, pvalue=1.3623169983149212e-06)","KstestResult(statistic=0.9072498680518208, pvalue=3.29417586223917e-310)","(9.67189133279061, 11.464775333876057)","KurtosistestResult(statistic=-0.4069466093642699, pvalue=0.6840472020595377)","SkewtestResult(statistic=5.181413100913042, pvalue=2.202111773958198e-07)","MannwhitneyuResult(statistic=5160.0, pvalue=1.1374021393957006e-83)","WilcoxonResult(statistic=198.5, pvalue=6.012158154803518e-48)","KruskalResult(statistic=374.2130379423833, pvalue=2.2641176261869597e-83)","(-0.13282978446759036, 0.02137574427545327)","SpearmanrResult(correlation=-0.1254831128111285, pvalue=0.029783798313078112)","KendalltauResult(correlation=-0.10474586719785932, pvalue=0.030021556286347603)"
5,PGIExp,Numerical,9.463333333333333,6.8701712544721065,"(0.912551760673523, 3.312197521462834e-12)","NormaltestResult(statistic=39.145676616031125, pvalue=3.1595434171978078e-09)","KstestResult(statistic=0.9005832013851541, pvalue=3.823119684323292e-301)","(8.644688954757314, 10.281977711909352)","KurtosistestResult(statistic=1.424066862066525, pvalue=0.15442711795862818)","SkewtestResult(statistic=6.092430564921944, pvalue=1.1120908568908154e-09)","MannwhitneyuResult(statistic=6240.0, pvalue=3.869824731076819e-79)","WilcoxonResult(statistic=283.5, pvalue=4.479721767435126e-48)","KruskalResult(statistic=353.40007185420063, pvalue=7.704347457577404e-79)","(-0.16618643235766836, 0.003895337084314252)","SpearmanrResult(correlation=-0.1491366265835638, pvalue=0.009686596272441093)","KendalltauResult(correlation=-0.12481974985320884, pvalue=0.009914033906922417)"
6,WardExp,Numerical,4.872333333333334,4.100118428286612,"(0.807177722454071, 1.3711592953886987e-18)","NormaltestResult(statistic=132.59648706781596, pvalue=1.6107890674153797e-29)","KstestResult(statistic=0.8205832013851542, pvalue=2.3322353989768005e-222)","(4.383766341553056, 5.360900325113612)","KurtosistestResult(statistic=6.221773079322839, pvalue=4.915676578784974e-10)","SkewtestResult(statistic=9.689480213986174, pvalue=3.3422527068727205e-22)","MannwhitneyuResult(statistic=12405.0, pvalue=2.85275152857578e-57)","WilcoxonResult(statistic=861.5, pvalue=5.1988965723801905e-43)","KruskalResult(statistic=253.0267259034963, pvalue=5.683314454182224e-57)","(0.046185325580402226, 0.4254282786653015)","SpearmanrResult(correlation=0.05187410003874953, pvalue=0.37060651758880825)","KendalltauResult(correlation=0.04425282117457455, pvalue=0.3697258313415248)"
7,NShiftPerMon,Numerical,5.086666666666667,1.8539902431317279,"(0.7618937492370605, 1.5305655685018253e-20)","NormaltestResult(statistic=58.7996108368057, pvalue=1.7054018813879728e-13)","KstestResult(statistic=0.9086501019683699, pvalue=3.40901356525e-312)","(4.865746600156448, 5.307586733176886)","KurtosistestResult(statistic=2.125024800356407, pvalue=0.03358454356081807)","SkewtestResult(statistic=-7.367759526116193, pvalue=1.735194165835262e-13)","MannwhitneyuResult(statistic=5730.0, pvalue=1.2346403743294993e-82)","WilcoxonResult(statistic=397.5, pvalue=7.974103192509756e-49)","KruskalResult(statistic=369.45654177378157, pvalue=2.4576613402736387e-82)","(-0.030653586133462023, 0.5969140194024366)","SpearmanrResult(correlation=-0.028811525241503804, pvalue=0.6191536737044937)","KendalltauResult(correlation=-0.02656505075946825, pvalue=0.6183446017407151)"
8,NShiftGap,Numerical,15.09,11.905364014077533,"(0.7036421895027161, 1.1173198669609708e-22)","NormaltestResult(statistic=189.5108484306111, pvalue=7.050860671553953e-42)","KstestResult(statistic=0.9266666656800789, pvalue=0.0)","(13.6713658839026, 16.5086341160974)","KurtosistestResult(statistic=7.8521924501734635, pvalue=4.0882649967746915e-15)","SkewtestResult(statistic=11.307250866415318, pvalue=1.2081581314098431e-29)","MannwhitneyuResult(statistic=6240.0, pvalue=1.0468096880909291e-78)","WilcoxonResult(statistic=231.0, pvalue=6.201299032988276e-50)","KruskalResult(statistic=351.41537492065186, pvalue=2.0841233406927103e-78)","(-0.06891120479060237, 0.23404269758087384)","SpearmanrResult(correlation=-0.06781800891423115, pvalue=0.24156367072925475)","KendalltauResult(correlation=-0.0593373821670629, pvalue=0.24092295131242447)"
9,NShiftAfterOff,Numerical,1.5133333333333334,0.5810458413827462,"(0.7043353319168091, 1.1793346839664188e-22)","NormaltestResult(statistic=26.35952740211249, pvalue=1.88843200339772e-06)","KstestResult(statistic=0.7980114127352096, pvalue=8.563624128744674e-206)","(1.4440963530421473, 1.5825703136245195)","KurtosistestResult(statistic=-2.0274975098433474, pvalue=0.04261155885420973)","SkewtestResult(statistic=-4.716861376984861, pvalue=2.3951075982211683e-06)","MannwhitneyuResult(statistic=34815.0, pvalue=1.6888273022171994e-08)","WilcoxonResult(statistic=5502.0, pvalue=6.611892826610672e-06)","KruskalResult(statistic=30.480468348611076, pvalue=3.3724482322967535e-08)","(-0.14044353639446208, 0.014913365057423855)","SpearmanrResult(correlation=-0.13895519740779205, pvalue=0.01602163550007658)","KendalltauResult(correlation=-0.13639343391832773, pvalue=0.016271863629743706)"
